"","id","neighbourhood","price","latitude","longitude","currency"
"1",36763,"Barcelona",36,41.38043,2.19094,"$"
"2",83283,"Barcelona",46,41.38237,2.16146,"$"
"3",128463,"Barcelona",38,41.37155,2.13664,"$"
"4",144471,"Barcelona",44,41.38189,2.15857,"$"
"5",147275,"Barcelona",15,41.42337,2.1749,"$"
"6",179619,"Barcelona",27,41.36969,2.13619,"$"
"7",199794,"Barcelona",38,41.38359,2.15812,"$"
"8",228638,"Barcelona",40,41.41143,2.14856,"$"
"9",323854,"Barcelona",30,41.40843,2.17494,"$"
"10",379868,"Barcelona",47,41.4055,2.17124,"$"
"11",437886,"Barcelona",36,41.39202,2.17246,"$"
"12",438102,"Barcelona",45,41.39829,2.1812,"$"
"13",462557,"Barcelona",33,41.38314,2.16195,"$"
"14",477256,"Barcelona",28,41.40248,2.19668,"$"
"15",490853,"Barcelona",34,41.40424,2.17244,"$"
"16",493122,"Barcelona",27,41.4016,2.19424,"$"
"17",528979,"Barcelona",45,41.39807,2.15483,"$"
"18",564809,"Barcelona",43,41.39748,2.15357,"$"
"19",567855,"Barcelona",46,41.38039,2.17739,"$"
"20",568185,"Barcelona",46,41.3819,2.15419,"$"
"21",576046,"Barcelona",25,41.40315,2.18462,"$"
"22",577027,"Barcelona",25,41.39277,2.1661,"$"
"23",590032,"Barcelona",25,41.38574,2.17869,"$"
"24",600590,"Barcelona",41,41.40505,2.17259,"$"
"25",621656,"Barcelona",37,41.37287,2.14184,"$"
"26",637232,"Barcelona",23,41.41793,2.19544,"$"
"27",663732,"Barcelona",35,41.38697,2.17781,"$"
"28",684613,"Barcelona",24,41.38294,2.14906,"$"
"29",744153,"Barcelona",50,41.39829,2.17542,"$"
"30",782502,"Barcelona",22,41.37115,2.13553,"$"
"31",811657,"Barcelona",15,41.38413,2.1582,"$"
"32",811669,"Barcelona",30,41.40961,2.15021,"$"
"33",851240,"Barcelona",41,41.38732,2.17839,"$"
"34",857030,"Barcelona",26,41.37316,2.14404,"$"
"35",857117,"Barcelona",31,41.4048,2.1723,"$"
"36",859046,"Barcelona",27,41.40131,2.17881,"$"
"37",917540,"Barcelona",25,41.37579,2.13764,"$"
"38",933094,"Barcelona",50,41.38412,2.12645,"$"
"39",933877,"Barcelona",45,41.40567,2.16552,"$"
"40",959880,"Barcelona",41,41.38023,2.17564,"$"
"41",961223,"Barcelona",23,41.37354,2.16603,"$"
"42",978990,"Barcelona",49,41.38387,2.1717,"$"
"43",1021297,"Barcelona",36,41.38708,2.14948,"$"
"44",1021299,"Barcelona",42,41.3853,2.14895,"$"
"45",1036032,"Barcelona",21,41.40625,2.17233,"$"
"46",1038904,"Barcelona",49,41.3997,2.18903,"$"
"47",1071787,"Barcelona",35,41.37568,2.12463,"$"
"48",1094547,"Barcelona",41,41.37644,2.15256,"$"
"49",1099498,"Barcelona",32,41.39446,2.17417,"$"
"50",1109398,"Barcelona",37,41.3857,2.16252,"$"
"51",1166075,"Barcelona",28,41.37585,2.1603,"$"
"52",1204581,"Barcelona",44,41.38233,2.15827,"$"
"53",1314537,"Barcelona",30,41.37937,2.15386,"$"
"54",1346626,"Barcelona",50,41.41349,2.1689,"$"
"55",1501323,"Barcelona",30,41.40289,2.17627,"$"
"56",1618509,"Barcelona",35,41.38361,2.18026,"$"
"57",1630947,"Barcelona",45,41.39738,2.15908,"$"
"58",1642382,"Barcelona",38,41.37477,2.13285,"$"
"59",1656097,"Barcelona",49,41.38989,2.15941,"$"
"60",1672691,"Barcelona",45,41.41541,2.21266,"$"
"61",1691556,"Barcelona",47,41.38317,2.16047,"$"
"62",1691573,"Barcelona",40,41.37361,2.16317,"$"
"63",1711952,"Barcelona",38,41.38778,2.18172,"$"
"64",1742526,"Barcelona",32,41.37222,2.16282,"$"
"65",1787830,"Barcelona",20,41.39707,2.18419,"$"
"66",1932737,"Barcelona",45,41.40847,2.18056,"$"
"67",2236041,"Barcelona",50,41.38488,2.17248,"$"
"68",2237750,"Barcelona",46,41.40855,2.16888,"$"
"69",2239563,"Barcelona",39,41.40796,2.18164,"$"
"70",2313602,"Barcelona",17,41.37768,2.16399,"$"
"71",2401712,"Barcelona",35,41.37484,2.1716,"$"
"72",2476174,"Barcelona",33,41.39031,2.18954,"$"
"73",2476289,"Barcelona",31,41.40563,2.16701,"$"
"74",2509265,"Barcelona",39,41.3809,2.15051,"$"
"75",2519401,"Barcelona",29,41.3809,2.15051,"$"
"76",2638678,"Barcelona",49,41.42022,2.21109,"$"
"77",2672942,"Barcelona",25,41.36276,2.13511,"$"
"78",2929363,"Barcelona",36,41.39825,2.17298,"$"
"79",2934212,"Barcelona",50,41.40362,2.13588,"$"
"80",3036053,"Barcelona",40,41.4162,2.18477,"$"
"81",3184869,"Barcelona",45,41.40205,2.19184,"$"
"82",3184899,"Barcelona",44,41.4024,2.19037,"$"
"83",3238564,"Barcelona",28,41.41833,2.19517,"$"
"84",3277794,"Barcelona",40,41.3786,2.15,"$"
"85",3300531,"Barcelona",50,41.39457,2.17395,"$"
"86",3322110,"Barcelona",21,41.3778,2.1664,"$"
"87",3353128,"Barcelona",25,41.40487,2.16471,"$"
"88",3355596,"Barcelona",29,41.3838,2.16997,"$"
"89",3419076,"Barcelona",38,41.37462,2.16729,"$"
"90",3436535,"Barcelona",32,41.38379,2.16845,"$"
"91",3507552,"Barcelona",37,41.38062,2.17898,"$"
"92",3524968,"Barcelona",39,41.40017,2.1957,"$"
"93",3538723,"Barcelona",50,41.38481,2.18327,"$"
"94",3582193,"Barcelona",29,41.37835,2.16634,"$"
"95",3647745,"Barcelona",25,41.37078,2.159,"$"
"96",3729387,"Barcelona",47,41.38261,2.17726,"$"
"97",3818023,"Barcelona",17,41.37774,2.11501,"$"
"98",3854817,"Barcelona",43,41.40191,2.16934,"$"
"99",4014183,"Barcelona",29,41.43417,2.16982,"$"
"100",4258006,"Barcelona",40,41.43527,2.15792,"$"
"101",4357598,"Barcelona",41,41.43537,2.15998,"$"
"102",4389803,"Barcelona",25,41.43157,2.14865,"$"
"103",4398914,"Barcelona",25,41.37393,2.1292,"$"
"104",4481286,"Barcelona",31,41.37349,2.13175,"$"
"105",4608544,"Barcelona",48,41.38135,2.166,"$"
"106",4629047,"Barcelona",30,41.39857,2.15433,"$"
"107",4687928,"Barcelona",33,41.39615,2.17685,"$"
"108",4688048,"Barcelona",24,41.39615,2.17685,"$"
"109",4691397,"Barcelona",33,41.39615,2.17685,"$"
"110",4728632,"Barcelona",30,41.39615,2.17685,"$"
"111",4735944,"Barcelona",46,41.38858,2.17754,"$"
"112",4810134,"Barcelona",17,41.40063,2.1634,"$"
"113",4816074,"Barcelona",23,41.40099,2.16441,"$"
"114",4816167,"Barcelona",26,41.40021,2.16322,"$"
"115",4973086,"Barcelona",29,41.37965,2.16902,"$"
"116",5062836,"Barcelona",40,41.38596,2.18306,"$"
"117",5075164,"Barcelona",33,41.41203,2.18064,"$"
"118",5092780,"Barcelona",35,41.38101,2.12989,"$"
"119",5178732,"Barcelona",21,41.41173,2.18522,"$"
"120",5208917,"Barcelona",25,41.41184,2.1993,"$"
"121",5246301,"Barcelona",30,41.37784,2.16806,"$"
"122",5407374,"Barcelona",30,41.37471,2.13311,"$"
"123",5417719,"Barcelona",42,41.3803,2.14283,"$"
"124",5418353,"Barcelona",45,41.37585,2.15105,"$"
"125",5523123,"Barcelona",50,41.39403,2.12578,"$"
"126",5536996,"Barcelona",35,41.38097,2.16872,"$"
"127",5536997,"Barcelona",35,41.37997,2.16871,"$"
"128",5540936,"Barcelona",41,41.36891,2.14131,"$"
"129",5695033,"Barcelona",28,41.4056,2.1764,"$"
"130",5791741,"Barcelona",39,41.38156,2.18821,"$"
"131",5792607,"Barcelona",29,41.3801,2.18897,"$"
"132",6028889,"Barcelona",39,41.37189,2.16606,"$"
"133",6031967,"Barcelona",35,41.37481,2.17183,"$"
"134",6036674,"Barcelona",38,41.40172,2.20281,"$"
"135",6072965,"Barcelona",48,41.41732,2.1778,"$"
"136",6102594,"Barcelona",45,41.39754,2.1493,"$"
"137",6138905,"Barcelona",16,41.40247,2.20388,"$"
"138",6151056,"Barcelona",21,41.39212,2.18628,"$"
"139",6161452,"Barcelona",40,41.40895,2.19048,"$"
"140",6192334,"Barcelona",46,41.39876,2.17907,"$"
"141",6270885,"Barcelona",44,41.38106,2.16702,"$"
"142",6289283,"Barcelona",45,41.37881,2.16977,"$"
"143",6294064,"Barcelona",20,41.38222,2.15735,"$"
"144",6428516,"Barcelona",34,41.38324,2.17702,"$"
"145",6428925,"Barcelona",35,41.38106,2.16486,"$"
"146",6560025,"Barcelona",48,41.38447,2.17302,"$"
"147",6617816,"Barcelona",25,41.37031,2.13745,"$"
"148",6664306,"Barcelona",42,41.37197,2.16504,"$"
"149",6682328,"Barcelona",38,41.38676,2.15258,"$"
"150",6685814,"Barcelona",35,41.41797,2.20906,"$"
"151",6742029,"Barcelona",44,41.38042,2.16997,"$"
"152",6811251,"Barcelona",43,41.43491,2.15933,"$"
"153",6833872,"Barcelona",30,41.3819,2.17782,"$"
"154",6874802,"Barcelona",40,41.4009,2.15133,"$"
"155",6970950,"Barcelona",24,41.37094,2.13631,"$"
"156",6987669,"Barcelona",25,41.37107,2.13632,"$"
"157",7049201,"Barcelona",36,41.4224,2.18185,"$"
"158",7052111,"Barcelona",26,41.38214,2.13586,"$"
"159",7098347,"Barcelona",41,41.37984,2.17141,"$"
"160",7108900,"Barcelona",40,41.38891,2.18407,"$"
"161",7146392,"Barcelona",28,41.37244,2.15445,"$"
"162",7217897,"Barcelona",39,41.39947,2.18903,"$"
"163",7220512,"Barcelona",30,41.39938,2.18923,"$"
"164",7221187,"Barcelona",30,41.39948,2.19029,"$"
"165",7241906,"Barcelona",40,41.38589,2.17613,"$"
"166",7271564,"Barcelona",49,41.41121,2.14716,"$"
"167",7357825,"Barcelona",20,41.37912,2.1807,"$"
"168",7493925,"Barcelona",39,41.44368,2.17597,"$"
"169",7528507,"Barcelona",32,41.37055,2.13965,"$"
"170",7534974,"Barcelona",40,41.3798,2.15197,"$"
"171",7574022,"Barcelona",20,41.40725,2.17251,"$"
"172",7674436,"Barcelona",48,41.38916,2.15804,"$"
"173",7766400,"Barcelona",22,41.39137,2.1885,"$"
